lead_id,business_name,niche,website,contact_form_url,draft_file
f86081c4,Joannegrobbelaar,business coaching,https://joannegrobbelaar.com/1-to-1-coaching/,https://joannegrobbelaar.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/f86081c4-joannegrobbelaar-contact-form.txt
c900e9ca,Nolaeventplanners,event planning,https://www.nolaeventplanners.com/,https://www.nolaeventplanners.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/c900e9ca-nolaeventplanners-contact-form.txt
b55c78c0,Allthingsorganizedkc,home organizing,https://allthingsorganizedkc.com/,https://allthingsorganizedkc.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/b55c78c0-allthingsorganizedkc-contact-form.txt
90278a14,Katejames,business coaching,https://katejames.com.au/business-coaching/,https://katejames.com.au/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/90278a14-katejames-contact-form.txt
93062699,Vanessavaliente,personal styling,https://vanessavaliente.com/,https://vanessavaliente.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/93062699-vanessavaliente-contact-form.txt
f63268f7,Vstyleblog,personal styling,https://vstyleblog.com/,https://vstyleblog.com/about,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/f63268f7-vstyleblog-contact-form.txt
f4f5f5e0,Instituteofcoaching,business coaching,https://instituteofcoaching.org/resourcefile/identity-and-legitimacy-emerging-profession-health-coaching/9383,https://instituteofcoaching.org/about,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/f4f5f5e0-instituteofcoaching-contact-form.txt
b2362986,Headspace,health coaching,https://www.headspace.com,https://www.headspace.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/b2362986-headspace-contact-form.txt
a70bd7f2,Denverconvention,event planning,https://denverconvention.com,https://denverconvention.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a70bd7f2-denverconvention-contact-form.txt
7b465635,Brooklynbridgeparents,interior design,https://brooklynbridgeparents.com,https://brooklynbridgeparents.com/contact-us/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/7b465635-brooklynbridgeparents-contact-form.txt
5f0baafc,Ziprecruiter,life coaching,https://www.ziprecruiter.com,"https://www.ziprecruiter.com/Jobs/Remote-Contact-Tracing/-in-Albuquerque,NM",/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/5f0baafc-ziprecruiter-contact-form.txt
7d80ad6e,Womenshealthmag,relationship coaching,https://www.womenshealthmag.com,https://www.womenshealthmag.com/relationships/a43753786/no-contact-rule/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/7d80ad6e-womenshealthmag-contact-form.txt
08d3f430,Beverlyberesford,health coaching,https://beverlyberesford.com,https://beverlyberesford.com/contact-us/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/08d3f430-beverlyberesford-contact-form.txt
4ccde06d,Viviamedspatampa,esthetics,https://www.viviamedspatampa.com,https://www.viviamedspatampa.com/contact-5-1,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/4ccde06d-viviamedspatampa-contact-form.txt
b231c903,Wisdomwithinct,relationship coaching,https://wisdomwithinct.com,https://wisdomwithinct.com/contact-me-east-lyme-therapy-niantic-therapy-child-therapist-teen-therapist-creative-counseling-walk-and-talk-therapy-eating-disorder-therapy/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/b231c903-wisdomwithinct-contact-form.txt
4db52c48,Abigailgreyweddings,wedding photography,https://abigailgreyweddings.com,https://abigailgreyweddings.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/4db52c48-abigailgreyweddings-contact-form.txt
b964190a,Crystalimagephoto,wedding photography,https://www.crystalimagephoto.com,https://www.crystalimagephoto.com/contact-us-crystal-image.html,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/b964190a-crystalimagephoto-contact-form.txt
04fb0158,Fiscalfitnessphx,financial coaching,https://fiscalfitnessphx.com,https://fiscalfitnessphx.com/contact-us/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/04fb0158-fiscalfitnessphx-contact-form.txt
82ca37c8,Bethhaleydesign,interior design,https://www.bethhaleydesign.com,https://www.bethhaleydesign.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/82ca37c8-bethhaleydesign-contact-form.txt
2ca2803d,Soulmedicaspa,esthetics,https://www.soulmedicaspa.com,https://www.soulmedicaspa.com/contact-us,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/2ca2803d-soulmedicaspa-contact-form.txt
e4fb49e4,Winknj,esthetics,https://www.winknj.com,https://www.winknj.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/e4fb49e4-winknj-contact-form.txt
40bdec34,Form Function,home organizing,https://www.form-function.pro,https://www.form-function.pro/contact-home-relocation-organizer,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/40bdec34-form-function-contact-form.txt
75e30018,Nathanphillipsweddings,wedding photography,https://nathanphillipsweddings.com,https://nathanphillipsweddings.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/75e30018-nathanphillipsweddings-contact-form.txt
53eb752c,Drvanderhorst,therapy,https://drvanderhorst.com,https://drvanderhorst.com/contact-a-virtual-therapist-in-maryland/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/53eb752c-drvanderhorst-contact-form.txt
22c32b12,Drjenniferkessmann,health coaching,https://www.drjenniferkessmann.com,https://www.drjenniferkessmann.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/22c32b12-drjenniferkessmann-contact-form.txt
dd37efc1,Thetidygirl,home organizing,https://www.thetidygirl.com,https://www.thetidygirl.com/contact-the-tidy-girl-organizing,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/dd37efc1-thetidygirl-contact-form.txt
e2fc65bd,Robingonzalesinteriors,interior design,https://robingonzalesinteriors.com,https://robingonzalesinteriors.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/e2fc65bd-robingonzalesinteriors-contact-form.txt
3057ec83,Alignwholehealth,health coaching,https://www.alignwholehealth.com,https://www.alignwholehealth.com/copy-of-contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/3057ec83-alignwholehealth-contact-form.txt
02556418,Livingwellnutrition,nutrition coaching,https://www.livingwellnutrition.com,https://www.livingwellnutrition.com/contact-loveland-functional-nutritionist/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/02556418-livingwellnutrition-contact-form.txt
07238543,Sageandsoulinteriors,interior design,https://sageandsoulinteriors.com,https://sageandsoulinteriors.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/07238543-sageandsoulinteriors-contact-form.txt
9aa9c3b6,Getminimized,home organizing,https://getminimized.com,https://getminimized.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/9aa9c3b6-getminimized-contact-form.txt
890cb15d,Anunstoppablelife,life coaching,https://anunstoppablelife.com,https://anunstoppablelife.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/890cb15d-anunstoppablelife-contact-form.txt
245d70df,Gracespacechristiancoaching,life coaching,https://www.gracespacechristiancoaching.com,https://www.gracespacechristiancoaching.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/245d70df-gracespacechristiancoaching-contact-form.txt
3fe6249e,Aspiredperformance,life coaching,https://www.aspiredperformance.com,https://www.aspiredperformance.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/3fe6249e-aspiredperformance-contact-form.txt
23dcd39d,Dohertynutrition,nutrition coaching,https://dohertynutrition.com,https://dohertynutrition.com/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/23dcd39d-dohertynutrition-contact-form.txt
5c5deb05,Gingerhultinnutrition,nutrition coaching,https://gingerhultinnutrition.com,https://gingerhultinnutrition.com/contact-puget-sound-area-nutritionist-ginger-hultin/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/5c5deb05-gingerhultinnutrition-contact-form.txt
a64df3dc,Theshalomimaginative,wedding photography,https://theshalomimaginative.com,https://theshalomimaginative.com/entry_form/contact/,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/a64df3dc-theshalomimaginative-contact-form.txt
c4520b35,Brandiebaird,wedding photography,https://brandiebaird.com,https://brandiebaird.com/contact,/Users/janeair/Documents/AI/switzertemplates/outputs/leads/outreach-drafts/c4520b35-brandiebaird-contact-form.txt
